タイトル,URL
ナレッジタイピング,https://n-typing.com/login
寿司打,https://sushida.net/
エンジニア向けタイピング練習,https://untyping.jp/
マウス練習広場 ハロー！パソコン教室,https://www.hello-pc.net/school/challenge_win8/
Google Colab,https://colab.google/
模擬試験 / タイピング技能検定イータイピング・マスター[インターネットで受験できる検定試験],https://web.e-typing.ne.jp/mock/
code.org,https://code.org/en-US
アルファベットタイピング,https://typing.twi1.me/game/197
iTeenリテラシークイズ,https://literacy.iteen.jp/
検定本番,https://programming-testing.com/player/auth/login
GAHAG,https://gahag.net/
p検定対策,https://learning.programming-sc.com/ContentMenuList/
